layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id,size
drl,0.5406745169692463,0.1624449961262078,0.4858171974076947,0.5113764094416524,0.6028001547863002,0.4793331367690411,0.9958191275886924,0.9277226576072268,0.8623721563336764,1,75
fruchterman_reingold,0.5576824520920474,0.0643611097914264,0.5361142331796024,0.5376987118891328,0.5605319008685596,0.5587641117503193,0.9958191275886924,0.9277226576072268,0.8623721563336764,1,75
graphopt,0.4844452608065792,0.407170346967823,0.5049067199354084,0.5152832468237791,0.4844452608065792,0.5500603980839163,0.9958191275886924,0.9277226576072268,0.8623721563336764,1,75
lgl,0.0301873606914191,0.0206587822690238,0.0216026922029905,0.0334946429691814,0.0301873606914191,0.0474890699612985,0.9958191275886924,0.9277226576072268,0.8623721563336764,1,75
mds,0.5314480233837291,0.1023845623047762,0.5228469509332417,0.5432845046395405,0.6185542412540538,0.5374157861342608,0.9958191275886924,0.9277226576072268,0.8623721563336764,1,75
kamada_kawai,0.7545350007668625,0.1782730095055155,0.6608635825384986,0.6863693093393886,0.8569003110841311,0.7714469401376901,1.0,1.0,0.8101171339806097,2,75
spring,0.7935507508700724,0.4951340049454031,0.8139120820426118,0.8178228957646277,0.9631529154010856,0.8398472133627077,1.0,1.0,0.8101171339806097,2,75
davidson_harel,0.4777371017333148,0.0976589768439395,0.4811786916410594,0.4443148335175971,0.4744507791264814,0.4972213423979122,1.0,1.0,0.8101171339806097,2,75
drl,0.5817986538976382,0.1998356095042039,0.590275080131286,0.5943478194170762,0.614392963562602,0.5900411654612499,1.0,1.0,0.8101171339806097,2,75
fruchterman_reingold,0.5361824386156382,0.415101926741666,0.5628432089920139,0.563414600227899,0.582186907609276,0.5743391503956673,1.0,1.0,0.8101171339806097,2,75
graphopt,0.5025919403952264,0.188472081688496,0.4924993662747939,0.5402426881473963,0.5025919403952264,0.5328712302135981,1.0,1.0,0.8101171339806097,2,75
