graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo,diff,abs_diff
43,0.4825141981119991,graphopt,5,3,400,silhouette,-2,2
44,0.9619128849355296,graphopt,2,4,500,silhouette,2,2
45,0.7952636122196478,graphopt,6,3,500,silhouette,-3,3
46,0.9126645208707819,graphopt,4,3,500,silhouette,-1,1
47,0.6670438702387951,graphopt,3,2,500,silhouette,-1,1
48,0.5153285795915314,graphopt,4,3,500,silhouette,-1,1
49,0.971641418477972,graphopt,2,3,500,silhouette,1,1
50,0.9437654101057952,graphopt,2,3,500,silhouette,1,1
51,0.8102371449179321,graphopt,3,4,500,silhouette,1,1
52,0.9177493030181773,graphopt,5,3,500,silhouette,-2,2
53,0.7348564148440134,graphopt,6,3,500,silhouette,-3,3
54,0.5205361719419017,graphopt,5,3,500,silhouette,-2,2
55,0.8773444218717436,graphopt,6,3,600,silhouette,-3,3
56,0.8814893893858821,graphopt,3,5,600,silhouette,2,2
57,0.9473469765905578,graphopt,2,2,600,silhouette,0,0
58,0.7751069405410104,graphopt,2,3,600,silhouette,1,1
59,0.5689563850897266,graphopt,4,3,600,silhouette,-1,1
60,0.9714404133844775,graphopt,2,3,600,silhouette,1,1
61,0.8480406920925746,graphopt,6,3,600,silhouette,-3,3
62,0.7337306013766258,graphopt,5,3,600,silhouette,-2,2
63,0.9526796477582588,graphopt,3,3,600,silhouette,0,0
64,0.8711352493651058,graphopt,2,4,600,silhouette,2,2
65,0.4689131300009051,graphopt,6,3,600,silhouette,-3,3
